Date,Truck_Number,Area,Location,Start Time,End Time,Number Of Refueling,Sales_Amount,Feul Fee,Profit,Fuel Price,Total Sales (L),utilization,capacity_used,profit_per_liter,Location_rank,Truck_Rank
12 azar,Fuel Truck24,3.0,daroos 2 ,8.33,11.0,1.0,4600.0,5000.0,138000000.0,35000.0,161000000.0,0.92,0.92,30000.0,897000000.0,897000000.0
12 azar,Fuel Truck25,4.0,heravi square,8.33,11.0,3.0,11000.0,5000.0,330000000.0,35000.0,385000000.0,2.2,2.2,30000.0,2292000000.0,2292000000.0
12 azar,Fuel Truck26,4.0,hussein abad,8.33,11.0,1.0,1240.0,5000.0,37200000.0,35000.0,43400000.0,0.248,0.248,30000.0,172500000.0,172500000.0
12 azar,Fuel Truck27,4.0,lavizan,8.33,11.0,1.0,2200.0,5000.0,66000000.0,35000.0,77000000.0,0.44,0.44,30000.0,425100000.0,425100000.0
12 azar,Fuel Truck28,4.0,lavizan 2 ,8.33,11.0,1.0,3600.0,5000.0,108000000.0,35000.0,126000000.0,0.72,0.72,30000.0,868020000.0,868020000.0
12 azar,Fuel Truck29,4.0,majidiyeh north,8.33,11.0,1.0,4700.0,5000.0,141000000.0,35000.0,164500000.0,0.94,0.94,30000.0,960000000.0,960000000.0
12 azar,Fuel Truck30,4.0,majidiyeh south,8.33,11.0,1.0,1100.0,5000.0,33000000.0,35000.0,38500000.0,0.22,0.22,30000.0,229800000.0,229800000.0
12 azar,Fuel Truck31,5.0,poonak,8.33,11.0,2.0,8000.0,5000.0,240000000.0,35000.0,280000000.0,1.6,1.6,30000.0,1716000000.0,1716000000.0
12 azar,Fuel Truck32,5.0,shahran,8.33,11.0,1.0,1500.0,5000.0,45000000.0,35000.0,52500000.0,0.3,0.3,30000.0,376200000.0,376200000.0
12 azar,Fuel Truck33,5.0,janab abad ,8.33,11.0,1.0,2200.0,5000.0,66000000.0,35000.0,77000000.0,0.44,0.44,30000.0,481800000.0,481800000.0
12 azar,Fuel Truck34,5.0,shahre ziba,8.33,11.0,2.0,5500.0,5000.0,165000000.0,35000.0,192500000.0,1.1,1.1,30000.0,1397700000.0,1397700000.0
12 azar,Fuel Truck35,5.0,ekbatan complex,8.33,11.0,2.0,7800.0,5000.0,234000000.0,35000.0,273000000.0,1.56,1.56,30000.0,1413000000.0,1413000000.0
12 azar,Fuel Truck36,5.0,ferdos blv,8.33,11.0,1.0,5000.0,5000.0,150000000.0,35000.0,175000000.0,1.0,1.0,30000.0,993000000.0,993000000.0
12 azar,Fuel Truck37,5.0,iran shahr,8.33,11.0,1.0,3700.0,5000.0,111000000.0,35000.0,129500000.0,0.74,0.74,30000.0,801000000.0,801000000.0
12 azar,Fuel Truck38,6.0,amir abad,8.33,11.0,1.0,700.0,5000.0,21000000.0,35000.0,24500000.0,0.14,0.14,30000.0,135600000.0,135600000.0
12 azar,Fuel Truck39,6.0,yusef abad,8.33,11.0,2.0,8900.0,5000.0,267000000.0,35000.0,311500000.0,1.78,1.78,30000.0,1653000000.0,1653000000.0
12 azar,Fuel Truck40,6.0,keshavarz,8.33,11.0,3.0,14000.0,5000.0,420000000.0,35000.0,490000000.0,2.8,2.8,30000.0,3063000000.0,3063000000.0
12 azar,Fuel Truck41,6.0,vali asr,8.33,11.0,4.0,19000.0,5000.0,570000000.0,35000.0,665000000.0,3.8,3.8,30000.0,4209000000.0,4209000000.0
